# Logfile created on 2017-10-06 15:48:53 -0500 by logger.rb/1.2.8
I, [2017-10-06T15:48:54.957263 #4236]  INFO -- : Message success, Time= 0.005929278
I, [2017-10-06T15:48:54.964598 #4236]  INFO -- : Message success, Time= 0.007187283
I, [2017-10-06T15:48:54.968109 #4236]  INFO -- : Message success, Time= 0.003417283
I, [2017-10-06T15:48:54.973641 #4236]  INFO -- : Message success, Time= 0.005446398
I, [2017-10-06T15:48:54.981578 #4236]  INFO -- : Message success, Time= 0.00784287
I, [2017-10-06T15:48:54.986513 #4236]  INFO -- : Message success, Time= 0.004837495
I, [2017-10-06T15:48:54.995730 #4236]  INFO -- : Message success, Time= 0.009103309
I, [2017-10-06T15:48:55.007896 #4236]  INFO -- : Message success, Time= 0.01200893
I, [2017-10-06T15:48:55.015545 #4236]  INFO -- : Message success, Time= 0.007323185
I, [2017-10-06T15:48:55.023549 #4236]  INFO -- : Message success, Time= 0.006804417
I, [2017-10-06T15:48:55.043355 #4236]  INFO -- : Message success, Time= 0.019589793
I, [2017-10-06T15:48:55.051296 #4236]  INFO -- : Message success, Time= 0.007763246
I, [2017-10-06T15:48:55.055065 #4236]  INFO -- : Message success, Time= 0.003673206
I, [2017-10-06T15:48:55.063062 #4236]  INFO -- : Message success, Time= 0.00791238
I, [2017-10-06T15:48:55.067345 #4236]  INFO -- : Message success, Time= 0.004188203
I, [2017-10-06T15:48:55.074808 #4236]  INFO -- : Message success, Time= 0.007329978
I, [2017-10-06T15:48:55.086289 #4236]  INFO -- : Message success, Time= 0.011222435
I, [2017-10-06T15:48:55.092591 #4236]  INFO -- : Message success, Time= 0.006190188
I, [2017-10-06T15:48:55.099247 #4236]  INFO -- : Message success, Time= 0.006537436
I, [2017-10-06T15:48:55.108151 #4236]  INFO -- : Message success, Time= 0.00878738
I, [2017-10-06T15:48:55.116756 #4236]  INFO -- : Message success, Time= 0.008401919
I, [2017-10-06T15:48:55.125753 #4236]  INFO -- : Message success, Time= 0.005714819
I, [2017-10-06T15:48:55.132354 #4236]  INFO -- : Message success, Time= 0.006463125
I, [2017-10-06T15:48:55.139761 #4236]  INFO -- : Message success, Time= 0.007124353
I, [2017-10-06T15:48:55.152813 #4236]  INFO -- : Message success, Time= 0.012649796
I, [2017-10-06T15:48:55.169480 #4236]  INFO -- : Message success, Time= 0.016483564
I, [2017-10-06T15:48:55.178664 #4236]  INFO -- : Message success, Time= 0.009088265
I, [2017-10-06T15:48:55.181416 #4236]  INFO -- : Message success, Time= 0.002659808
I, [2017-10-06T15:48:55.186920 #4236]  INFO -- : Message success, Time= 0.005423247
I, [2017-10-06T15:48:55.194186 #4236]  INFO -- : Message success, Time= 0.007160599
I, [2017-10-06T15:48:55.207294 #4236]  INFO -- : Message success, Time= 0.012985241
I, [2017-10-06T15:48:55.218425 #4236]  INFO -- : Message success, Time= 0.010983595
I, [2017-10-06T15:48:55.228236 #4236]  INFO -- : Message success, Time= 0.009682055
I, [2017-10-06T15:48:55.236130 #4236]  INFO -- : Message success, Time= 0.007768027
I, [2017-10-06T15:48:55.248565 #4236]  INFO -- : Message success, Time= 0.012281106
I, [2017-10-06T15:48:55.254266 #4236]  INFO -- : Message success, Time= 0.005590163
I, [2017-10-06T15:48:55.259156 #4236]  INFO -- : Message success, Time= 0.004791646
I, [2017-10-06T15:48:55.264693 #4236]  INFO -- : Message success, Time= 0.005429744
I, [2017-10-06T15:48:55.283059 #4236]  INFO -- : Message success, Time= 0.018221257
I, [2017-10-06T15:48:55.293037 #4236]  INFO -- : Message success, Time= 0.009853481
I, [2017-10-06T15:48:55.310870 #4236]  INFO -- : Message success, Time= 0.017704582
I, [2017-10-06T15:48:55.315808 #4236]  INFO -- : Message success, Time= 0.004839545
I, [2017-10-06T15:48:55.327625 #4236]  INFO -- : Message success, Time= 0.011721329
I, [2017-10-06T15:48:55.334290 #4236]  INFO -- : Message success, Time= 0.006532285
I, [2017-10-06T15:48:55.351812 #4236]  INFO -- : Message success, Time= 0.017386114
I, [2017-10-06T15:48:55.361316 #4236]  INFO -- : Message success, Time= 0.009399534
I, [2017-10-06T15:48:55.366918 #4236]  INFO -- : Message success, Time= 0.005487526
I, [2017-10-06T15:48:55.371318 #4236]  INFO -- : Message success, Time= 0.004247154
I, [2017-10-06T15:48:55.378879 #4236]  INFO -- : Message success, Time= 0.007458441
I, [2017-10-06T15:48:55.383802 #4236]  INFO -- : Message success, Time= 0.004767715
I, [2017-10-06T15:48:55.398709 #4236]  INFO -- : Message success, Time= 0.014812601
I, [2017-10-06T15:48:55.403366 #4236]  INFO -- : Message success, Time= 0.004560366
I, [2017-10-06T15:48:55.410583 #4236]  INFO -- : Message success, Time= 0.007100477
I, [2017-10-06T15:48:55.420341 #4236]  INFO -- : Message success, Time= 0.00961397
I, [2017-10-06T15:48:55.430500 #4236]  INFO -- : Message success, Time= 0.008802946
I, [2017-10-06T15:48:55.434617 #4236]  INFO -- : Message success, Time= 0.004028871
I, [2017-10-06T15:48:55.446641 #4236]  INFO -- : Message success, Time= 0.011908398
I, [2017-10-06T15:48:55.462884 #4236]  INFO -- : Message success, Time= 0.016028472
I, [2017-10-06T15:48:55.469488 #4236]  INFO -- : Message success, Time= 0.006490427
I, [2017-10-06T15:48:55.480267 #4236]  INFO -- : Message success, Time= 0.010606325
I, [2017-10-06T15:48:55.489379 #4236]  INFO -- : Message success, Time= 0.008968239
I, [2017-10-06T15:48:55.495314 #4236]  INFO -- : Message success, Time= 0.005538259
I, [2017-10-06T15:48:55.502010 #4236]  INFO -- : Message success, Time= 0.006609739
I, [2017-10-06T15:48:55.506396 #4236]  INFO -- : Message success, Time= 0.004287603
I, [2017-10-06T15:48:55.513460 #4236]  INFO -- : Message success, Time= 0.006964016
I, [2017-10-06T15:48:55.527414 #4236]  INFO -- : Message success, Time= 0.013855988
I, [2017-10-06T15:48:55.533745 #4236]  INFO -- : Message success, Time= 0.00534882
I, [2017-10-06T15:48:55.542477 #4236]  INFO -- : Message success, Time= 0.008566764
I, [2017-10-06T15:48:55.546845 #4236]  INFO -- : Message success, Time= 0.004223428
I, [2017-10-06T15:48:55.558304 #4236]  INFO -- : Message success, Time= 0.011320481
I, [2017-10-06T15:48:55.568965 #4236]  INFO -- : Message success, Time= 0.010473723
I, [2017-10-06T15:48:55.590335 #4236]  INFO -- : Message success, Time= 0.02108795
I, [2017-10-06T15:48:55.595759 #4236]  INFO -- : Message success, Time= 0.005248984
I, [2017-10-06T15:48:55.601531 #4236]  INFO -- : Message success, Time= 0.005676528
I, [2017-10-06T15:48:55.615707 #4236]  INFO -- : Message success, Time= 0.014004202
I, [2017-10-06T15:48:55.626739 #4236]  INFO -- : Message success, Time= 0.010576342
I, [2017-10-06T15:48:55.632080 #4236]  INFO -- : Message success, Time= 0.005148669
I, [2017-10-06T15:48:55.641716 #4236]  INFO -- : Message success, Time= 0.007696803
I, [2017-10-06T15:48:55.646576 #4236]  INFO -- : Message success, Time= 0.0047641
I, [2017-10-06T15:48:55.664452 #4236]  INFO -- : Message success, Time= 0.017780531
I, [2017-10-06T15:48:55.671175 #4236]  INFO -- : Message success, Time= 0.00658205
I, [2017-10-06T15:48:55.679857 #4236]  INFO -- : Message success, Time= 0.008464715
I, [2017-10-06T15:48:55.682982 #4236]  INFO -- : Message success, Time= 0.003026358
I, [2017-10-06T15:48:55.689960 #4236]  INFO -- : Message success, Time= 0.00685541
I, [2017-10-06T15:48:55.702118 #4236]  INFO -- : Message success, Time= 0.012024231
I, [2017-10-06T15:48:55.710263 #4236]  INFO -- : Message success, Time= 0.008035359
I, [2017-10-06T15:48:55.725058 #4236]  INFO -- : Message success, Time= 0.014695589
I, [2017-10-06T15:48:55.730096 #4236]  INFO -- : Message success, Time= 0.004928213
I, [2017-10-06T15:48:55.746100 #4236]  INFO -- : Message success, Time= 0.015871503
I, [2017-10-06T15:48:55.760735 #4236]  INFO -- : Message success, Time= 0.013113403
I, [2017-10-06T15:48:55.776423 #4236]  INFO -- : Message success, Time= 0.015508435
I, [2017-10-06T15:48:55.782481 #4236]  INFO -- : Message success, Time= 0.005906665
I, [2017-10-06T15:48:55.791040 #4236]  INFO -- : Message success, Time= 0.008380201
I, [2017-10-06T15:48:55.796087 #4236]  INFO -- : Message success, Time= 0.004934058
I, [2017-10-06T15:48:55.801798 #4236]  INFO -- : Message success, Time= 0.005599997
I, [2017-10-06T15:48:55.807651 #4236]  INFO -- : Message success, Time= 0.005720659
I, [2017-10-06T15:48:55.818963 #4236]  INFO -- : Message success, Time= 0.011197485
I, [2017-10-06T15:48:55.830920 #4236]  INFO -- : Message success, Time= 0.01181324
I, [2017-10-06T15:48:55.838999 #4236]  INFO -- : Message success, Time= 0.007895952
I, [2017-10-06T15:48:55.848225 #4236]  INFO -- : Message success, Time= 0.008254846
I, [2017-10-06T15:48:55.855552 #4236]  INFO -- : Message success, Time= 0.007189869
I, [2017-10-06T15:48:55.870786 #4236]  INFO -- : Message success, Time= 0.01509497
I, [2017-10-06T15:48:55.877684 #4236]  INFO -- : Message success, Time= 0.006715502
I, [2017-10-06T15:48:55.883387 #4236]  INFO -- : Message success, Time= 0.005616336
I, [2017-10-06T15:48:55.889676 #4236]  INFO -- : Message success, Time= 0.006171904
I, [2017-10-06T15:48:55.894901 #4236]  INFO -- : Message success, Time= 0.005131581
I, [2017-10-06T15:48:55.903834 #4236]  INFO -- : Message success, Time= 0.008832467
I, [2017-10-06T15:48:55.912122 #4236]  INFO -- : Message success, Time= 0.008163163
I, [2017-10-06T15:48:55.916023 #4236]  INFO -- : Message success, Time= 0.003813992
